waypoint_index,latitude,longitude,in_tss_lane,distance_from_start_nm,segment_distance_nm
0,51.500000,-8.000000,No,0.00,0.00
1,51.275000,-7.616667,No,19.72,19.72
2,50.916667,-6.950000,No,52.80,33.09
3,50.341667,-6.033333,Yes,101.90,49.10
4,49.966667,-6.016667,Yes,124.43,22.52
5,49.941667,-5.950000,No,127.41,2.98
6,49.991667,-5.900000,Yes,130.98,3.57
7,49.950000,-5.608333,No,142.52,11.54
8,49.916667,-5.391667,No,151.12,8.61
9,49.900000,-3.891667,No,209.13,58.01
10,49.875000,-2.991667,No,243.98,34.85
11,49.841667,-2.850000,Yes,249.82,5.84
12,50.200000,-0.675000,No,336.43,86.61
13,50.275000,-0.158333,No,356.78,20.35
14,50.333333,0.050000,Yes,365.50,8.72
15,50.516667,1.025000,Yes,404.39,38.88
16,50.716667,1.358333,Yes,421.86,17.48
17,50.925000,1.458333,Yes,434.93,13.07
18,51.133333,1.783333,Yes,452.46,17.52
19,51.300000,2.266667,Yes,473.21,20.75
20,51.266667,2.333333,No,476.41,3.21
21,51.316667,2.475000,No,482.52,6.11
22,51.366667,2.533333,Yes,486.23,3.71
23,51.350000,2.608333,No,489.22,2.98
24,51.433333,2.816667,No,498.49,9.27
25,51.833333,3.450000,No,532.16,33.67
26,51.933333,3.650000,No,541.70,9.54
27,52.050000,3.750000,No,549.62,7.92
28,52.100000,3.883333,No,555.39,5.76
29,52.466667,4.341667,No,583.10,27.71
30,52.933333,4.600000,No,612.65,29.55
31,53.208333,4.725000,No,629.77,17.12
32,53.416667,5.016667,No,646.08,16.31
33,53.491667,5.041667,Yes,650.67,4.59
34,53.508333,5.116667,Yes,653.53,2.86
35,53.458333,5.166667,No,657.02,3.49
36,53.525000,5.200000,Yes,661.20,4.18
37,53.541667,5.275000,Yes,664.05,2.86
38,53.508333,5.341667,No,667.16,3.11
39,53.516667,5.416667,No,669.89,2.72
40,53.575000,5.466667,Yes,673.82,3.93
41,53.800000,6.666667,Yes,718.57,44.75
42,53.941667,7.633333,Yes,753.83,35.26
43,55.291667,7.900000,No,835.41,81.58
44,56.641667,8.066667,No,916.66,81.25
45,56.966667,8.258333,No,937.17,20.51
46,57.191667,8.566667,No,954.01,16.84
47,57.408333,9.175000,No,977.64,23.63
48,57.616667,9.791667,No,1001.14,23.49
49,57.900000,10.608333,No,1032.34,31.20
50,57.816667,10.741667,No,1038.91,6.57
51,57.675000,10.783333,No,1047.52,8.61
52,57.158333,10.850000,No,1078.62,31.10
53,56.650000,10.983333,No,1109.45,30.83
54,56.350000,11.000000,No,1127.47,18.02
55,56.133333,10.958333,No,1140.55,13.08
56,55.933333,10.883333,No,1152.82,12.27
57,55.858333,10.900000,No,1157.36,4.54
58,55.750000,10.800000,No,1164.69,7.33
59,55.450000,11.000000,No,1183.93,19.25
60,55.308333,11.050000,No,1192.61,8.68
61,55.091667,11.008333,No,1205.70,13.09
62,54.833333,10.891667,No,1221.72,16.02
63,54.708333,10.983333,No,1229.87,8.15
64,54.550000,11.466667,No,1249.17,19.30
65,54.516667,11.991667,No,1267.57,18.40
66,54.800000,12.733333,No,1298.44,30.87
67,54.966667,13.300000,No,1320.42,21.98
68,55.116667,13.891667,No,1342.68,22.26
69,55.166667,14.033333,Yes,1348.39,5.71
70,55.183333,14.333333,No,1358.73,10.33
71,55.400000,14.658333,Yes,1375.83,17.11
72,55.550000,15.250000,Yes,1397.89,22.06
73,55.608333,15.391667,Yes,1403.84,5.95
74,55.933333,17.716667,Yes,1484.74,80.91
75,56.258333,18.650000,Yes,1521.59,36.85
76,56.350000,18.858333,Yes,1530.45,8.86
77,57.383333,19.883333,Yes,1601.02,70.57
78,58.041667,20.416667,Yes,1644.09,43.07
79,59.000000,21.625000,Yes,1712.98,68.89
80,59.291667,22.433333,No,1743.41,30.43
81,59.358333,22.475000,Yes,1747.61,4.20
82,59.450000,22.683333,Yes,1756.03,8.42
83,59.616667,23.958333,No,1796.11,40.08
84,59.675000,24.258333,No,1805.86,9.75
85,59.641667,24.325000,No,1808.71,2.84
86,59.741667,24.925000,No,1827.85,19.15
87,59.766667,25.150000,No,1834.82,6.97
88,59.816667,25.200000,Yes,1838.18,3.36
89,59.933333,25.633333,No,1853.00,14.82
90,60.000000,26.000000,No,1864.72,11.72
